expression_by_experiment_id 	experiment_id 	template_id 	replicates_used 	mean   	median  	standard_desviation 	coefficient_of_variance 	dataset_id 	metadata_id 
-----------------------------+---------------+-------------+-----------------+---------+---------+---------------------+-------------------------+------------+-------------
1	1 	1 	5 	4.18474 	4.39819 	0.450242373472333 	0.107591429405286 		30
43769 	2 	1 	5 	14.0711 	14.0992 	0.111811305331795 	0.00794618922325647 		30
87537 	3 	1 	5 	4.1356 	4.43805 	0.710202115316478 	0.171728918492233 		30
131305 	4 	1 	5 	3.75211 	3.69047 	1.06484766378576 	0.283799843657423 		30
175073 	5 	1 	5 	4.65384 	5.04064 	0.763133174367358 	0.163979175564481 		30
218841 	6 	1 	5 	4.2401 	4.84604 	1.7669424718564 	0.416721886714087 		30
262609 	7 	1 	5 	4.4068 	4.26614 	0.793284778386678 	0.180013873653087 		30
306377 	8 	1 	5 	4.71324 	4.38628 	0.860374072499864 	0.182543927812747 		30
350145 	9 	1 	5 	3.69503 	4.00814 	1.48927460408751 	0.403047604998359 		30
393913 	10 	1 	5 	2.95781 	3.90587 	1.6127863371336 	0.54526433411382 		30
437681 	11 	1 	5 	2.56789 	1.3966 	2.06074644942016 	0.802504296484817 		30
481449 	12 	1 	5 	3.84015 	3.85465 	1.31483425633423 	0.342391022947058 		30
525217 	13 	1 	5 	11.0059 	10.919 	1.8382242646315 	0.167021651709073 		30
568985 	14 	1 	6 	4.62843 	4.80179 	1.07881585432207 	0.233084537488489 		30
612753 	15 	1 	5 	4.36843 	4.80329 	2.67798551463035 	0.613031853708097 		30
656521 	16 	1 	8 	2.7859 	2.92844 	1.70168863300126 	0.610820768476048 		30
700289 	17 	1 	5 	2.89555 	2.75123 	1.42457793059208 	0.491988037726831 		30
744057 	18 	1 	6 	3.15993 	3.29848 	0.952846770754179 	0.301540308863487 		30
787825 	19 	1 	5 	2.81365 	2.24527 	1.46136259118673 	0.519382848762652 		30
(19 rows)

